tier,min,max,rate
1,0,13246,0.051
2,13247,17673,0.057
3,17674,24022,0.061
4,24023,25146,0.068
5,25147,29635,0.077
6,29636,30638,0.088
7,30639,45996,0.098
8,45997,51708,0.100
9,51709,58972,0.116
10,58973,75632,0.125
11,75633,,0.135
